id,type,pd,qd,bs,area,vmag,vang
1,2,51,27,0,1,0.955,10.67
2,1,20,9,0,1,0.971,11.22
3,1,39,10,0,1,0.968,11.56
4,2,39,12,0,1,0.998,15.28
5,1,0,0,-40,1,1.002,15.73
6,2,52,22,0,1,0.99,13
7,1,19,2,0,1,0.989,12.56
8,2,28,0,0,1,1.015,20.77
9,1,0,0,0,1,1.043,28.02
10,2,0,0,0,1,1.05,35.61
11,1,70,23,0,1,0.985,12.72
12,2,47,10,0,1,0.99,12.2
13,1,34,16,0,1,0.968,11.35
14,1,14,1,0,1,0.984,11.5
15,2,90,30,0,1,0.97,11.23
16,1,25,10,0,1,0.984,11.91
17,1,11,3,0,1,0.995,13.74
18,2,60,34,0,1,0.973,11.53
19,2,45,25,0,1,0.963,11.05
20,1,18,3,0,1,0.958,11.93
21,1,14,8,0,1,0.959,13.52
22,1,10,5,0,1,0.97,16.08
23,1,7,3,0,1,1,21
24,2,13,0,0,1,0.992,20.89
25,2,0,0,0,1,1.05,27.93
26,2,0,0,0,1,1.015,29.71
27,2,71,13,0,1,0.968,15.35
28,1,17,7,0,1,0.962,13.62
29,1,24,4,0,1,0.963,12.63
30,1,0,0,0,1,0.968,18.79
31,2,43,27,0,1,0.967,12.75
32,2,59,23,0,1,0.964,14.8
33,1,23,9,0,1,0.972,10.63
34,2,59,26,14,1,0.986,11.3
35,1,33,9,0,1,0.981,10.87
36,2,31,17,0,1,0.98,10.87
37,1,0,0,-25,1,0.992,11.77
38,1,0,0,0,1,0.962,16.91
39,1,27,11,0,1,0.97,8.41
40,2,66,23,0,1,0.97,7.35
41,1,37,10,0,1,0.967,6.92
42,2,96,23,0,1,0.985,8.53
43,1,18,7,0,1,0.978,11.28
44,1,16,8,10,1,0.985,13.82
45,1,53,22,10,1,0.987,15.67
46,2,28,10,10,1,1.005,18.49
47,1,34,0,0,1,1.017,20.73
48,1,20,11,15,1,1.021,19.93
49,2,87,30,0,1,1.025,20.94
50,1,17,4,0,1,1.001,18.9
51,1,17,8,0,1,0.967,16.28
52,1,18,5,0,1,0.957,15.32
53,1,23,11,0,1,0.946,14.35
54,2,113,32,0,1,0.955,15.26
55,2,63,22,0,1,0.952,14.97
56,2,84,18,0,1,0.954,15.16
57,1,12,3,0,1,0.971,16.36
58,1,12,3,0,1,0.959,15.51
59,2,277,113,0,1,0.985,19.37
60,1,78,3,0,1,0.993,23.15
61,2,0,0,0,1,0.995,24.04
62,2,77,14,0,1,0.998,23.43
63,1,0,0,0,1,0.969,22.75
64,1,0,0,0,1,0.984,24.52
65,2,0,0,0,1,1.005,27.65
66,2,39,18,0,1,1.05,27.48
67,1,28,7,0,1,1.02,24.84
68,1,0,0,0,1,1.003,27.55
69,3,0,0,0,1,1.035,30
70,2,66,20,0,1,0.984,22.58
71,1,0,0,0,1,0.987,22.15
72,2,12,0,0,1,0.98,20.98
73,2,6,0,0,1,0.991,21.94
74,2,68,27,12,1,0.958,21.64
75,1,47,11,0,1,0.967,22.91
76,2,68,36,0,1,0.943,21.77
77,2,61,28,0,1,1.006,26.72
78,1,71,26,0,1,1.003,26.42
79,1,39,32,20,1,1.009,26.72
80,2,130,26,0,1,1.04,28.96
81,1,0,0,0,1,0.997,28.1
82,1,54,27,20,1,0.989,27.24
83,1,20,10,10,1,0.985,28.42
84,1,11,7,0,1,0.98,30.95
85,2,24,15,0,1,0.985,32.51
86,1,21,10,0,1,0.987,31.14
87,2,0,0,0,1,1.015,31.4
88,1,48,10,0,1,0.987,35.64
89,2,0,0,0,1,1.005,39.69
90,2,163,42,0,1,0.985,33.29
91,2,10,0,0,1,0.98,33.31
92,2,65,10,0,1,0.993,33.8
93,1,12,7,0,1,0.987,30.79
94,1,30,16,0,1,0.991,28.64
95,1,42,31,0,1,0.981,27.67
96,1,38,15,0,1,0.993,27.51
97,1,15,9,0,1,1.011,27.88
98,1,34,8,0,1,1.024,27.4
99,2,42,0,0,1,1.01,27.04
100,2,37,18,0,1,1.017,28.03
101,1,22,15,0,1,0.993,29.61
102,1,5,3,0,1,0.991,32.3
103,2,23,16,0,1,1.001,24.44
104,2,38,25,0,1,0.971,21.69
105,2,31,26,20,1,0.965,20.57
106,1,43,16,0,1,0.962,20.32
107,2,50,12,6,1,0.952,17.53
108,1,2,1,0,1,0.967,19.38
109,1,8,3,0,1,0.967,18.93
110,2,39,30,6,1,0.973,18.09
111,2,0,0,0,1,0.98,19.74
112,2,68,13,0,1,0.975,14.99
113,2,6,0,0,1,0.993,13.74
114,1,8,3,0,1,0.96,14.46
115,1,22,7,0,1,0.96,14.46
116,2,184,0,0,1,1.005,27.12
117,1,20,8,0,1,0.974,10.67
118,1,33,15,0,1,0.949,21.92
119,2,51,27,0,2,0.955,10.67
120,1,20,9,0,2,0.971,11.22
121,1,39,10,0,2,0.968,11.56
122,2,39,12,0,2,0.998,15.28
123,1,0,0,-40,2,1.002,15.73
124,2,52,22,0,2,0.99,13
125,1,19,2,0,2,0.989,12.56
126,2,28,0,0,2,1.015,20.77
127,1,0,0,0,2,1.043,28.02
128,2,0,0,0,2,1.05,35.61
129,1,70,23,0,2,0.985,12.72
130,2,47,10,0,2,0.99,12.2
131,1,34,16,0,2,0.968,11.35
132,1,14,1,0,2,0.984,11.5
133,2,90,30,0,2,0.97,11.23
134,1,25,10,0,2,0.984,11.91
135,1,11,3,0,2,0.995,13.74
136,2,60,34,0,2,0.973,11.53
137,2,45,25,0,2,0.963,11.05
138,1,18,3,0,2,0.958,11.93
139,1,14,8,0,2,0.959,13.52
140,1,10,5,0,2,0.97,16.08
141,1,7,3,0,2,1,21
142,2,13,0,0,2,0.992,20.89
143,2,0,0,0,2,1.05,27.93
144,2,0,0,0,2,1.015,29.71
145,2,71,13,0,2,0.968,15.35
146,1,17,7,0,2,0.962,13.62
147,1,24,4,0,2,0.963,12.63
148,1,0,0,0,2,0.968,18.79
149,2,43,27,0,2,0.967,12.75
150,2,59,23,0,2,0.964,14.8
151,1,23,9,0,2,0.972,10.63
152,2,59,26,14,2,0.986,11.3
153,1,33,9,0,2,0.981,10.87
154,2,31,17,0,2,0.98,10.87
155,1,0,0,-25,2,0.992,11.77
156,1,0,0,0,2,0.962,16.91
157,1,27,11,0,2,0.97,8.41
158,2,66,23,0,2,0.97,7.35
159,1,37,10,0,2,0.967,6.92
160,2,96,23,0,2,0.985,8.53
161,1,18,7,0,2,0.978,11.28
162,1,16,8,10,2,0.985,13.82
163,1,53,22,10,2,0.987,15.67
164,2,28,10,10,2,1.005,18.49
165,1,34,0,0,2,1.017,20.73
166,1,20,11,15,2,1.021,19.93
167,2,87,30,0,2,1.025,20.94
168,1,17,4,0,2,1.001,18.9
169,1,17,8,0,2,0.967,16.28
170,1,18,5,0,2,0.957,15.32
171,1,23,11,0,2,0.946,14.35
172,2,113,32,0,2,0.955,15.26
173,2,63,22,0,2,0.952,14.97
174,2,84,18,0,2,0.954,15.16
175,1,12,3,0,2,0.971,16.36
176,1,12,3,0,2,0.959,15.51
177,2,277,113,0,2,0.985,19.37
178,1,78,3,0,2,0.993,23.15
179,2,0,0,0,2,0.995,24.04
180,2,77,14,0,2,0.998,23.43
181,1,0,0,0,2,0.969,22.75
182,1,0,0,0,2,0.984,24.52
183,2,0,0,0,2,1.005,27.65
184,2,39,18,0,2,1.05,27.48
