from,to,r,x,b,tap
413,414,0.0317,0.145,0.0376,0.0
377,386,0.0317,0.1153,0.1173,0.0
561,562,0.0518,0.188,0.0528,0.0
85,89,0.0239,0.173,0.047,0.0
759,766,0.0255,0.0719,0.01788,0.0
1013,1021,0.0309,0.101,0.1038,0.0
93,94,0.0223,0.0732,0.01876,0.0
300,297,0.0,0.0268,0.0,0.985
970,974,0.00799,0.086,0.908,0.0
178,179,0.00264,0.0135,0.01456,0.0
336,339,0.016,0.0525,0.0536,0.0
276,277,0.0145,0.0487,0.01222,0.0
610,611,0.0183,0.0849,0.0216,0.0
133,135,0.0132,0.0437,0.0444,0.0
290,295,0.0503,0.2293,0.0598,0.0
725,739,0.0474,0.1563,0.0399,0.0
999,1000,0.00488,0.0151,0.00374,0.0
509,512,0.0593,0.168,0.042,0.0
146,147,0.0237,0.0943,0.0238,0.0
577,579,0.053,0.183,0.0472,0.0
756,757,0.0179,0.0505,0.01258,0.0
636,638,0.0601,0.189,0.0472,0.0
537,538,0.0,0.037,0.0,0.935
804,805,0.0173,0.0885,0.024,0.0
754,755,0.038,0.127,0.0316,0.0
979,981,0.011,0.0497,0.01318,0.0
925,926,0.018,0.0813,0.0216,0.0
494,495,0.0342,0.159,0.0404,0.0
618,619,0.0237,0.0943,0.0238,0.0
337,338,0.0246,0.112,0.0294,0.0
957,959,0.0744,0.2444,0.06268,0.0
179,180,0.00824,0.0376,0.0098,0.0
218,222,0.0451,0.204,0.0541,0.0
629,630,0.0184,0.0605,0.01552,0.0
164,165,0.038,0.127,0.0316,0.0
849,858,0.0317,0.1153,0.1173,0.0
3,12,0.0484,0.16,0.0406,0.0
660,664,0.0401,0.1323,0.03368,0.0
319,320,0.0625,0.132,0.0258,0.0
656,657,0.0224,0.1015,0.02682,0.0
408,410,0.00275,0.00955,0.00732,0.0
1019,1021,0.0601,0.1999,0.04978,0.0
1026,1040,0.0162,0.053,0.0544,0.0
253,349,0.00913,0.0301,0.00768,0.0
736,737,0.0237,0.0943,0.0238,0.0
1024,1040,0.0356,0.182,0.0494,0.0
553,552,0.0,0.037,0.0,0.935
155,158,0.0593,0.168,0.042,0.0
968,1016,0.0488,0.196,0.0488,0.0
69,75,0.0405,0.122,0.124,0.0
793,794,0.035,0.123,0.0276,0.0
362,363,0.00244,0.0305,1.162,0.0
526,527,0.0169,0.0707,0.0202,0.0
425,427,0.00866,0.0454,0.01178,0.0
985,986,0.041,0.135,0.0344,0.0
834,835,0.00244,0.0305,1.162,0.0
59,60,0.0317,0.145,0.0376,0.0
979,980,0.00224,0.0102,0.00268,0.0
986,993,0.0715,0.323,0.086,0.0
645,646,0.00488,0.0151,0.00374,0.0
961,975,0.0474,0.1563,0.0399,0.0
330,331,0.0132,0.0434,0.0111,0.0
248,353,0.0329,0.14,0.0358,0.0
409,410,0.00488,0.0151,0.00374,0.0
11,13,0.02225,0.0731,0.01876,0.0
992,993,0.0179,0.0505,0.01258,0.0
241,242,0.0119,0.054,0.01426,0.0
23,25,0.0156,0.08,0.0864,0.0
450,451,0.0173,0.0885,0.024,0.0
524,525,0.0405,0.1635,0.04058,0.0
875,892,0.018,0.0919,0.0248,0.0
752,753,0.0224,0.0901,0.0224,0.0
32,114,0.0135,0.0612,0.01628,0.0
196,197,0.00546,0.0244,0.00648,0.0
841,859,0.038,0.1244,0.03194,0.0
336,337,0.0277,0.1262,0.0328,0.0
281,282,0.04,0.1356,0.0332,0.0
296,298,0.0123,0.0561,0.01468,0.0
454,460,0.0605,0.229,0.062,0.0
138,139,0.0183,0.0849,0.0216,0.0
681,682,0.0387,0.1272,0.03268,0.0
452,454,0.0397,0.179,0.0476,0.0
433,434,0.0156,0.0704,0.0187,0.0
291,292,0.00488,0.0151,0.00374,0.0
490,491,0.01119,0.0493,0.01142,0.0
1004,1006,0.0123,0.0561,0.01468,0.0
725,726,0.0123,0.0505,0.01298,0.0
873,875,0.0191,0.0625,0.01604,0.0
977,981,0.0415,0.142,0.0366,0.0
64,61,0.0,0.0268,0.0,0.985
30,38,0.00464,0.054,0.422,0.0
344,345,0.0105,0.0288,0.0076,0.0
659,667,0.0309,0.101,0.1038,0.0
872,873,0.038,0.127,0.0316,0.0
828,838,0.0187,0.0616,0.01572,0.0
903,904,0.00376,0.0124,0.01264,0.0
251,253,0.0132,0.0437,0.0444,0.0
468,469,0.0023,0.0104,0.00276,0.0
49,66,0.018,0.0919,0.0248,0.0
444,445,0.0254,0.0836,0.0214,0.0
581,582,0.0278,0.0762,0.0202,0.0
686,687,0.0173,0.0885,0.024,0.0
982,1009,0.00901,0.0986,1.046,0.0
598,595,0.0,0.0267,0.0,0.985
774,775,0.0224,0.1015,0.02682,0.0
902,944,0.0164,0.0544,0.01356,0.0
807,808,0.018,0.0813,0.0216,0.0
187,188,0.03,0.127,0.122,0.0
551,552,0.0156,0.0704,0.0187,0.0
952,974,0.00431,0.0504,0.514,0.0
835,836,0.00258,0.0322,1.23,0.0
210,218,0.0648,0.295,0.0472,0.0
999,1003,0.04739,0.2158,0.05646,0.0
561,564,0.0099,0.0505,0.0548,0.0
743,745,0.011,0.0497,0.01318,0.0
549,552,0.017,0.0485,0.0472,0.0
399,403,0.0684,0.186,0.0444,0.0
739,740,0.0298,0.0985,0.0251,0.0
678,679,0.0139,0.0712,0.01934,0.0
335,336,0.018,0.0813,0.0216,0.0
365,366,0.00595,0.0196,0.00502,0.0
978,987,0.0413,0.1681,0.04226,0.0
504,585,0.0615,0.203,0.0518,0.0
724,725,0.0454,0.1801,0.0466,0.0
148,135,0.0,0.0388,0.0,0.96
1024,1041,0.0183,0.0934,0.0254,0.0
671,670,0.0,0.037,0.0,0.935
1004,1005,0.00264,0.0135,0.01456,0.0
879,880,0.0263,0.122,0.031,0.0
918,919,0.0258,0.0848,0.0218,0.0
370,371,0.0454,0.1801,0.0466,0.0
921,922,0.0171,0.0547,0.01474,0.0
56,59,0.0825,0.251,0.0569,0.0
153,154,0.00224,0.0102,0.00268,0.0
915,918,0.0099,0.0505,0.0548,0.0
314,315,0.00546,0.0244,0.00648,0.0
700,702,0.0247,0.064,0.062,0.0
495,497,0.0156,0.08,0.0864,0.0
822,823,0.0023,0.0104,0.00276,0.0
305,313,0.0309,0.101,0.1038,0.0
881,882,0.00488,0.0151,0.00374,0.0
301,302,0.0,0.037,0.0,0.935
935,936,0.0278,0.0762,0.0202,0.0
328,336,0.0648,0.295,0.0472,0.0
562,563,0.0254,0.0836,0.0214,0.0
634,635,0.0224,0.0901,0.0224,0.0
414,415,0.00264,0.0135,0.01456,0.0
458,459,0.00994,0.0378,0.00986,0.0
630,632,0.0555,0.183,0.0466,0.0
1027,1029,0.043,0.148,0.0348,0.0
693,700,0.03906,0.1813,0.0461,0.0
597,602,0.00862,0.034,0.00874,0.0
407,408,0.0263,0.122,0.031,0.0
355,357,0.0129,0.0424,0.01082,0.0
797,798,0.0238,0.0997,0.106,0.0
402,403,0.0179,0.0505,0.01258,0.0
779,781,0.00866,0.0454,0.01178,0.0
122,123,0.00176,0.00798,0.0021,0.0
783,785,0.0601,0.1999,0.04978,0.0
1015,1017,0.00866,0.0454,0.01178,0.0
366,368,0.0215,0.0707,0.01816,0.0
850,898,0.0488,0.196,0.0488,0.0
