id,type,pd,qd,bs,area,vmag,vang
413,2,277,113,0,4,0.985,19.37
414,1,78,3,0,4,0.993,23.15
377,1,7,3,0,4,1.0,21.0
386,2,59,23,0,4,0.964,14.8
561,2,0,0,0,5,1.005,39.69
562,2,163,42,0,5,0.985,33.29
85,2,24,15,0,1,0.985,32.51
89,2,0,0,0,1,1.005,39.69
759,1,17,8,0,7,0.967,16.28
766,1,12,3,0,7,0.959,15.51
1013,2,0,0,0,9,1.035,30.0
1021,2,61,28,0,9,1.006,26.72
93,1,12,7,0,1,0.987,30.79
94,1,30,16,0,1,0.991,28.64
297,2,0,0,0,3,0.995,24.04
300,1,0,0,0,3,0.984,24.52
970,2,0,0,0,9,1.015,29.71
974,1,0,0,0,9,0.968,18.79
178,1,78,3,0,2,0.993,23.15
179,2,0,0,0,2,0.995,24.04
336,2,37,18,0,3,1.017,28.03
339,2,23,16,0,3,1.001,24.44
276,2,66,23,0,3,0.97,7.35
277,1,37,10,0,3,0.967,6.92
610,1,18,3,0,6,0.958,11.93
611,1,14,8,0,6,0.959,13.52
133,2,90,30,0,2,0.97,11.23
135,1,11,3,0,2,0.995,13.74
290,2,113,32,0,3,0.955,15.26
295,2,277,113,0,3,0.985,19.37
725,1,11,3,0,7,0.995,13.74
739,2,43,27,0,7,0.967,12.75
999,2,63,22,0,9,0.952,14.97
1000,2,84,18,0,9,0.954,15.16
509,1,0,0,-25,5,0.992,11.77
512,2,66,23,0,5,0.97,7.35
146,1,17,7,0,2,0.962,13.62
147,1,24,4,0,2,0.963,12.63
577,2,31,26,20,5,0.965,20.57
579,2,50,12,6,5,0.952,17.53
756,1,20,11,15,7,1.021,19.93
757,2,87,30,0,7,1.025,20.94
636,2,28,10,10,6,1.005,18.49
638,1,20,11,15,6,1.021,19.93
537,2,0,0,0,5,1.005,27.65
538,2,39,18,0,5,1.05,27.48
804,1,38,15,0,7,0.993,27.51
805,1,15,9,0,7,1.011,27.88
754,2,28,10,10,7,1.005,18.49
755,1,34,0,0,7,1.017,20.73
979,1,33,9,0,9,0.981,10.87
981,1,0,0,-25,9,0.992,11.77
925,2,42,0,0,8,1.01,27.04
926,2,37,18,0,8,1.017,28.03
494,1,10,5,0,5,0.97,16.08
495,1,7,3,0,5,1.0,21.0
618,1,17,7,0,6,0.962,13.62
619,1,24,4,0,6,0.963,12.63
337,1,22,15,0,3,0.993,29.61
338,1,5,3,0,3,0.991,32.3
957,1,34,16,0,9,0.968,11.35
959,2,90,30,0,9,0.97,11.23
180,2,77,14,0,2,0.998,23.43
218,2,37,18,0,2,1.017,28.03
222,2,38,25,0,2,0.971,21.69
629,1,27,11,0,6,0.97,8.41
630,2,66,23,0,6,0.97,7.35
164,2,28,10,10,2,1.005,18.49
165,1,34,0,0,2,1.017,20.73
849,1,7,3,0,8,1.0,21.0
858,2,59,23,0,8,0.964,14.8
3,1,39,10,0,1,0.968,11.56
12,2,47,10,0,1,0.99,12.2
660,2,66,20,0,6,0.984,22.58
664,2,68,27,12,6,0.958,21.64
319,1,20,10,10,3,0.985,28.42
320,1,11,7,0,3,0.98,30.95
656,2,39,18,0,6,1.05,27.48
657,1,28,7,0,6,1.02,24.84
408,2,113,32,0,4,0.955,15.26
410,2,84,18,0,4,0.954,15.16
1019,1,47,11,0,9,0.967,22.91
1026,1,54,27,20,9,0.989,27.24
1040,1,38,15,0,9,0.993,27.51
