from,to,r,x,b,tap
156,183,0.00901,0.0986,1.046,0.0
232,233,0.0023,0.0104,0.00276,0.0
866,867,0.0145,0.0487,0.01222,0.0
808,811,0.016,0.0525,0.0536,0.0
1013,1019,0.0405,0.122,0.124,0.0
302,303,0.0224,0.1015,0.02682,0.0
785,788,0.017,0.0485,0.0472,0.0
891,892,0.0,0.037,0.0,0.935
911,914,0.02,0.102,0.0276,0.0
1029,1032,0.02,0.102,0.0276,0.0
595,596,0.0119,0.054,0.01426,0.0
486,487,0.0595,0.195,0.0502,0.0
799,800,0.0387,0.1272,0.03268,0.0
53,54,0.0263,0.122,0.031,0.0
213,214,0.0171,0.0547,0.01474,0.0
757,777,0.0985,0.324,0.0828,0.0
682,690,0.0648,0.295,0.0472,0.0
777,785,0.0309,0.101,0.1038,0.0
813,814,0.014,0.0547,0.01434,0.0
867,868,0.041,0.135,0.0344,0.0
356,366,0.0187,0.0616,0.01572,0.0
841,843,0.0132,0.0437,0.0444,0.0
577,580,0.0261,0.0703,0.01844,0.0
752,753,0.0224,0.0901,0.0224,0.0
139,140,0.0209,0.097,0.0246,0.0
668,669,0.00546,0.0244,0.00648,0.0
822,823,0.0023,0.0104,0.00276,0.0
734,738,0.00799,0.086,0.908,0.0
490,491,0.01119,0.0493,0.01142,0.0
779,781,0.00866,0.0454,0.01178,0.0
