id,type,pd,qd,bs,area,vmag,vang
86,1,21,10,0,1,0.987,31.14
87,2,0,0,0,1,1.015,31.4
248,2,47,10,0,3,0.99,12.2
252,1,25,10,0,3,0.984,11.91
377,1,7,3,0,4,1.0,21.0
386,2,59,23,0,4,0.964,14.8
743,1,33,9,0,7,0.981,10.87
744,2,31,17,0,7,0.98,10.87
133,2,90,30,0,2,0.97,11.23
137,2,45,25,0,2,0.963,11.05
403,2,87,30,0,4,1.025,20.94
420,2,39,18,0,4,1.05,27.48
307,1,0,0,0,3,0.987,22.15
308,2,12,0,0,3,0.98,20.98
859,1,23,9,0,8,0.972,10.63
863,1,0,0,-25,8,0.992,11.77
1047,2,23,16,0,9,1.001,24.44
1049,2,31,26,20,9,0.965,20.57
49,2,87,30,0,1,1.025,20.94
69,3,0,0,0,1,1.035,30.0
265,1,24,4,0,3,0.963,12.63
267,2,43,27,0,3,0.967,12.75
388,2,59,26,14,4,0.986,11.3
390,2,31,17,0,4,0.98,10.87
577,2,31,26,20,5,0.965,20.57
579,2,50,12,6,5,0.952,17.53
541,2,0,0,0,5,1.035,30.0
547,1,47,11,0,5,0.967,22.91
443,2,0,0,0,4,1.005,39.69
444,2,163,42,0,4,0.985,33.29
64,1,0,0,0,1,0.984,24.52
65,2,0,0,0,1,1.005,27.65
564,2,65,10,0,5,0.993,33.8
574,1,5,3,0,5,0.991,32.3
770,2,77,14,0,7,0.998,23.43
774,2,39,18,0,7,1.05,27.48
506,2,59,26,14,5,0.986,11.3
515,1,18,7,0,5,0.978,11.28
882,2,84,18,0,8,0.954,15.16
885,2,277,113,0,8,0.985,19.37
183,2,0,0,0,2,1.005,27.65
186,1,0,0,0,2,1.003,27.55
359,1,0,0,-40,4,1.002,15.73
365,1,70,23,0,4,0.985,12.72
210,2,65,10,0,2,0.993,33.8
212,1,30,16,0,2,0.991,28.64
492,1,18,3,0,5,0.958,11.93
493,1,14,8,0,5,0.959,13.52
35,1,33,9,0,1,0.981,10.87
37,1,0,0,-25,1,0.992,11.77
306,2,66,20,0,3,0.984,22.58
310,2,68,27,12,3,0.958,21.64
998,2,113,32,0,9,0.955,15.26
1000,2,84,18,0,9,0.954,15.16
94,1,30,16,0,1,0.991,28.64
95,1,42,31,0,1,0.981,27.67
89,2,0,0,0,1,1.005,39.69
92,2,65,10,0,1,0.993,33.8
430,2,68,36,0,4,0.943,21.77
472,1,33,15,0,4,0.949,21.92
785,2,61,28,0,7,1.006,26.72
788,2,130,26,0,7,1.04,28.96
199,1,0,0,0,2,0.997,28.1
742,2,59,26,14,7,0.986,11.3
992,1,20,11,15,9,1.021,19.93
993,2,87,30,0,9,1.025,20.94
98,1,34,8,0,1,1.024,27.4
100,2,37,18,0,1,1.017,28.03
305,2,0,0,0,3,1.035,30.0
313,2,61,28,0,3,1.006,26.72
931,2,31,26,20,8,0.965,20.57
932,1,43,16,0,8,0.962,20.32
178,1,78,3,0,2,0.993,23.15
179,2,0,0,0,2,0.995,24.04
813,2,31,26,20,7,0.965,20.57
815,2,50,12,6,7,0.952,17.53
783,1,47,11,0,7,0.967,22.91
131,1,34,16,0,2,0.968,11.35
948,2,39,12,0,9,0.998,15.28
949,1,0,0,-40,9,1.002,15.73
77,2,61,28,0,1,1.006,26.72
80,2,130,26,0,1,1.04,28.96
527,2,63,22,0,5,0.952,14.97
528,2,84,18,0,5,0.954,15.16
827,2,51,27,0,8,0.955,10.67
829,1,39,10,0,8,0.968,11.56
357,1,39,10,0,4,0.968,11.56
660,2,66,20,0,6,0.984,22.58
665,1,47,11,0,6,0.967,22.91
947,1,39,10,0,9,0.968,11.56
498,2,0,0,0,5,1.015,29.71
502,1,0,0,0,5,0.968,18.79
926,2,37,18,0,8,1.017,28.03
169,1,17,8,0,2,0.967,16.28
176,1,12,3,0,2,0.959,15.51
32,2,59,23,0,1,0.964,14.8
114,1,8,3,0,1,0.96,14.46
754,2,28,10,10,7,1.005,18.49
756,1,20,11,15,7,1.021,19.93
494,1,10,5,0,5,0.97,16.08
495,1,7,3,0,5,1.0,21.0
775,1,28,7,0,7,1.02,24.84
27,2,71,13,0,1,0.968,15.35
115,1,22,7,0,1,0.96,14.46
880,2,113,32,0,8,0.955,15.26
1036,2,65,10,0,9,0.993,33.8
1044,2,37,18,0,9,1.017,28.03
595,1,0,0,-40,6,1.002,15.73
598,2,28,0,0,6,1.015,20.77
121,1,39,10,0,2,0.968,11.56
123,1,0,0,-40,2,1.002,15.73
12,2,47,10,0,1,0.99,12.2
117,1,20,8,0,1,0.974,10.67
1048,2,38,25,0,9,0.971,21.69
283,1,34,0,0,3,1.017,20.73
285,2,87,30,0,3,1.025,20.94
1034,2,163,42,0,9,0.985,33.29
1035,2,10,0,0,9,0.98,33.31
