from,to,r,x,b,tap
582,584,0.0247,0.064,0.062,0.0
509,512,0.0593,0.168,0.042,0.0
313,316,0.0294,0.105,0.0228,0.0
998,1000,0.00275,0.00955,0.00732,0.0
1033,1036,0.0393,0.1581,0.0414,0.0
807,808,0.018,0.0813,0.0216,0.0
1013,1014,0.03,0.127,0.122,0.0
445,446,0.0387,0.1272,0.03268,0.0
453,454,0.018,0.0813,0.0216,0.0
541,542,0.03,0.127,0.122,0.0
793,796,0.02,0.102,0.0276,0.0
397,398,0.0608,0.2454,0.06068,0.0
60,61,0.00264,0.0135,0.01456,0.0
973,975,0.0108,0.0331,0.0083,0.0
305,313,0.0309,0.101,0.1038,0.0
964,965,0.0183,0.0849,0.0216,0.0
873,875,0.0191,0.0625,0.01604,0.0
682,684,0.0481,0.158,0.0406,0.0
8,5,0.0,0.0267,0.0,0.985
152,154,0.00871,0.0268,0.00568,0.0
139,140,0.0209,0.097,0.0246,0.0
990,992,0.0601,0.189,0.0472,0.0
842,843,0.0454,0.1801,0.0466,0.0
388,390,0.00871,0.0268,0.00568,0.0
872,874,0.0601,0.189,0.0472,0.0
1042,1044,0.0397,0.179,0.0476,0.0
497,499,0.0318,0.163,0.1764,0.0
845,860,0.0752,0.247,0.0632,0.0
540,553,0.00175,0.0202,0.808,0.0
716,717,0.00244,0.0305,1.162,0.0
860,863,0.00256,0.0094,0.00984,0.0
982,1009,0.00901,0.0986,1.046,0.0
394,396,0.0555,0.183,0.0466,0.0
591,593,0.0129,0.0424,0.01082,0.0
336,339,0.016,0.0525,0.0536,0.0
848,849,0.0342,0.159,0.0404,0.0
164,165,0.038,0.127,0.0316,0.0
374,375,0.0183,0.0849,0.0216,0.0
670,687,0.0183,0.0934,0.0254,0.0
424,429,0.0428,0.141,0.036,0.0
646,647,0.0343,0.0966,0.0242,0.0
92,100,0.0648,0.295,0.0472,0.0
464,465,0.022,0.0755,0.02,0.0
238,248,0.0187,0.0616,0.01572,0.0
538,539,0.0224,0.1015,0.02682,0.0
43,44,0.0608,0.2454,0.06068,0.0
78,79,0.00546,0.0244,0.00648,0.0
788,806,0.0238,0.108,0.0286,0.0
148,135,0.0,0.0388,0.0,0.96
536,537,0.00269,0.0302,0.38,0.0
214,215,0.0173,0.0885,0.024,0.0
157,158,0.0184,0.0605,0.01552,0.0
917,918,0.0387,0.1272,0.03268,0.0
105,107,0.053,0.183,0.0472,0.0
972,973,0.0237,0.0943,0.0238,0.0
259,261,0.0156,0.08,0.0864,0.0
897,898,0.0446,0.18,0.04444,0.0
