id,in,out,total,,,,,
1,0,2,2,,,,,
2,1,1,2,,IN/OUT ÃÖºó°ª,in,out,total
3,1,2,3,,id : 49,5,7,12
4,0,2,2,,,,,
5,3,2,5,,,,,
6,1,1,2,,,,,
7,1,1,2,,,,,
8,0,3,3,,,,,
9,1,1,2,,,,,
10,1,0,1,,,,,
11,2,2,4,,,,,
12,4,3,7,,,,,
13,1,1,2,,,,,
14,1,1,2,,,,,
15,2,3,5,,,,,
16,1,1,2,,,,,
17,3,3,6,,,,,
18,1,1,2,,,,,
19,2,2,4,,,,,
20,1,1,2,,,,,
21,1,1,2,,,,,
22,1,1,2,,,,,
23,1,3,4,,,,,
24,1,2,3,,,,,
25,2,1,3,,,,,
26,0,2,2,,,,,
27,1,3,4,,,,,
28,1,1,2,,,,,
29,1,1,2,,,,,
30,2,2,4,,,,,
31,2,1,3,,,,,
32,3,2,5,,,,,
33,1,1,2,,,,,
34,1,3,4,,,,,
35,0,2,2,,,,,
36,2,0,2,,,,,
37,4,2,6,,,,,
38,1,2,3,,,,,
39,1,1,2,,,,,
40,2,2,4,,,,,
41,1,1,2,,,,,
42,2,2,4,,,,,
43,1,1,2,,,,,
44,1,1,2,,,,,
45,1,2,3,,,,,
46,1,2,3,,,,,
47,1,2,3,,,,,
48,1,1,2,,,,,
49,5,7,12,,,,,
50,1,1,2,,,,,
51,1,2,3,,,,,
52,1,1,2,,,,,
53,1,1,2,,,,,
54,3,3,6,,,,,
55,1,2,3,,,,,
56,2,4,6,,,,,
57,2,0,2,,,,,
58,2,0,2,,,,,
59,5,2,7,,,,,
60,1,2,3,,,,,
61,3,1,4,,,,,
62,2,2,4,,,,,
63,0,2,2,,,,,
64,1,2,3,,,,,
65,2,2,4,,,,,
66,4,1,5,,,,,
67,2,0,2,,,,,
68,1,3,4,,,,,
69,3,4,7,,,,,
70,2,3,5,,,,,
71,1,2,3,,,,,
72,2,0,2,,,,,
73,1,0,1,,,,,
74,1,1,2,,,,,
75,3,2,5,,,,,
76,0,2,2,,,,,
77,3,4,7,,,,,
78,1,1,2,,,,,
79,1,1,2,,,,,
80,4,4,8,,,,,
81,1,1,2,,,,,
82,1,2,3,,,,,
83,1,2,3,,,,,
84,1,1,2,,,,,
85,2,3,5,,,,,
86,1,1,2,,,,,
87,1,0,1,,,,,
88,1,1,2,,,,,
89,2,4,6,,,,,
90,2,1,3,,,,,
91,1,1,2,,,,,
92,3,4,7,,,,,
93,1,1,2,,,,,
94,2,3,5,,,,,
95,1,1,2,,,,,
96,4,1,5,,,,,
97,2,0,2,,,,,
98,1,1,2,,,,,
99,1,1,2,,,,,
100,4,4,8,,,,,
101,1,1,2,,,,,
102,2,0,2,,,,,
103,1,3,4,,,,,
104,2,1,3,,,,,
105,2,3,5,,,,,
106,2,1,3,,,,,
107,2,0,2,,,,,
108,1,1,2,,,,,
109,1,1,2,,,,,
110,2,2,4,,,,,
111,1,0,1,,,,,
112,1,0,1,,,,,
113,2,0,2,,,,,
114,1,1,2,,,,,
