id,type,pd,qd,bs,area,vmag,vang,degree
1,2,51,27,0,1,0.955,10.67,2
2,1,20,9,0,1,0.971,11.22,2
3,1,39,10,0,1,0.968,11.56,3
4,2,39,12,0,1,0.998,15.28,2
5,1,0,0,-40,1,1.002,15.73,5
6,2,52,22,0,1,0.99,13.0,2
7,1,19,2,0,1,0.989,12.56,2
8,2,28,0,0,1,1.015,20.77,3
9,1,0,0,0,1,1.043,28.02,2
10,2,0,0,0,1,1.05,35.61,1
11,1,70,23,0,1,0.985,12.72,4
12,2,47,10,0,1,0.99,12.2,7
13,1,34,16,0,1,0.968,11.35,2
14,1,14,1,0,1,0.984,11.5,2
15,2,90,30,0,1,0.97,11.23,5
16,1,25,10,0,1,0.984,11.91,2
17,1,11,3,0,1,0.995,13.74,6
18,2,60,34,0,1,0.973,11.53,2
19,2,45,25,0,1,0.963,11.05,4
20,1,18,3,0,1,0.958,11.93,2
21,1,14,8,0,1,0.959,13.52,2
22,1,10,5,0,1,0.97,16.08,2
23,1,7,3,0,1,1.0,21.0,4
24,2,13,0,0,1,0.992,20.89,3
25,2,0,0,0,1,1.05,27.93,3
26,2,0,0,0,1,1.015,29.71,2
27,2,71,13,0,1,0.968,15.35,4
28,1,17,7,0,1,0.962,13.62,2
29,1,24,4,0,1,0.963,12.63,2
30,1,0,0,0,1,0.968,18.79,4
31,2,43,27,0,1,0.967,12.75,3
32,2,59,23,0,1,0.964,14.8,5
33,1,23,9,0,1,0.972,10.63,2
34,2,59,26,14,1,0.986,11.3,4
35,1,33,9,0,1,0.981,10.87,2
36,2,31,17,0,1,0.98,10.87,2
37,1,0,0,-25,1,0.992,11.77,6
38,1,0,0,0,1,0.962,16.91,3
39,1,27,11,0,1,0.97,8.41,2
40,2,66,23,0,1,0.97,7.35,4
41,1,37,10,0,1,0.967,6.92,2
42,2,96,23,0,1,0.985,8.53,4
43,1,18,7,0,1,0.978,11.28,2
44,1,16,8,10,1,0.985,13.82,2
45,1,53,22,10,1,0.987,15.67,3
46,2,28,10,10,1,1.005,18.49,3
47,1,34,0,0,1,1.017,20.73,3
48,1,20,11,15,1,1.021,19.93,2
49,2,87,30,0,1,1.025,20.94,12
50,1,17,4,0,1,1.001,18.9,2
51,1,17,8,0,1,0.967,16.28,3
52,1,18,5,0,1,0.957,15.32,2
53,1,23,11,0,1,0.946,14.35,2
54,2,113,32,0,1,0.955,15.26,6
55,2,63,22,0,1,0.952,14.97,3
56,2,84,18,0,1,0.954,15.16,6
57,1,12,3,0,1,0.971,16.36,2
58,1,12,3,0,1,0.959,15.51,2
59,2,277,113,0,1,0.985,19.37,7
60,1,78,3,0,1,0.993,23.15,3
61,2,0,0,0,1,0.995,24.04,4
62,2,77,14,0,1,0.998,23.43,4
63,1,0,0,0,1,0.969,22.75,2
64,1,0,0,0,1,0.984,24.52,3
65,2,0,0,0,1,1.005,27.65,4
66,2,39,18,0,1,1.05,27.48,5
67,1,28,7,0,1,1.02,24.84,2
68,1,0,0,0,1,1.003,27.55,4
69,3,0,0,0,1,1.035,30.0,7
70,2,66,20,0,1,0.984,22.58,5
71,1,0,0,0,1,0.987,22.15,3
72,2,12,0,0,1,0.98,20.98,2
73,2,6,0,0,1,0.991,21.94,1
74,2,68,27,12,1,0.958,21.64,2
75,1,47,11,0,1,0.967,22.91,5
76,2,68,36,0,1,0.943,21.77,2
77,2,61,28,0,1,1.006,26.72,7
78,1,71,26,0,1,1.003,26.42,2
79,1,39,32,20,1,1.009,26.72,2
80,2,130,26,0,1,1.04,28.96,8
81,1,0,0,0,1,0.997,28.1,2
82,1,54,27,20,1,0.989,27.24,3
83,1,20,10,10,1,0.985,28.42,3
84,1,11,7,0,1,0.98,30.95,2
85,2,24,15,0,1,0.985,32.51,5
86,1,21,10,0,1,0.987,31.14,2
87,2,0,0,0,1,1.015,31.4,1
88,1,48,10,0,1,0.987,35.64,2
89,2,0,0,0,1,1.005,39.69,6
90,2,163,42,0,1,0.985,33.29,3
91,2,10,0,0,1,0.98,33.31,2
92,2,65,10,0,1,0.993,33.8,7
93,1,12,7,0,1,0.987,30.79,2
94,1,30,16,0,1,0.991,28.64,5
95,1,42,31,0,1,0.981,27.67,2
96,1,38,15,0,1,0.993,27.51,5
97,1,15,9,0,1,1.011,27.88,2
98,1,34,8,0,1,1.024,27.4,2
99,2,42,0,0,1,1.01,27.04,2
100,2,37,18,0,1,1.017,28.03,8
101,1,22,15,0,1,0.993,29.61,2
102,1,5,3,0,1,0.991,32.3,2
103,2,23,16,0,1,1.001,24.44,4
104,2,38,25,0,1,0.971,21.69,3
105,2,31,26,20,1,0.965,20.57,5
106,1,43,16,0,1,0.962,20.32,3
107,2,50,12,6,1,0.952,17.53,2
108,1,2,1,0,1,0.967,19.38,2
109,1,8,3,0,1,0.967,18.93,2
110,2,39,30,6,1,0.973,18.09,4
111,2,0,0,0,1,0.98,19.74,1
112,2,68,13,0,1,0.975,14.99,1
113,2,6,0,0,1,0.993,13.74,2
114,1,8,3,0,1,0.96,14.46,2
115,1,22,7,0,1,0.96,14.46,2
116,2,184,0,0,1,1.005,27.12,1
117,1,20,8,0,1,0.974,10.67,1
118,1,33,15,0,1,0.949,21.92,2
119,2,51,27,0,2,0.955,10.67,2
120,1,20,9,0,2,0.971,11.22,2
121,1,39,10,0,2,0.968,11.56,3
122,2,39,12,0,2,0.998,15.28,2
123,1,0,0,-40,2,1.002,15.73,5
124,2,52,22,0,2,0.99,13.0,2
125,1,19,2,0,2,0.989,12.56,2
126,2,28,0,0,2,1.015,20.77,3
127,1,0,0,0,2,1.043,28.02,2
128,2,0,0,0,2,1.05,35.61,1
129,1,70,23,0,2,0.985,12.72,4
130,2,47,10,0,2,0.99,12.2,7
131,1,34,16,0,2,0.968,11.35,2
132,1,14,1,0,2,0.984,11.5,2
133,2,90,30,0,2,0.97,11.23,5
134,1,25,10,0,2,0.984,11.91,2
135,1,11,3,0,2,0.995,13.74,6
136,2,60,34,0,2,0.973,11.53,2
137,2,45,25,0,2,0.963,11.05,4
138,1,18,3,0,2,0.958,11.93,2
139,1,14,8,0,2,0.959,13.52,2
140,1,10,5,0,2,0.97,16.08,2
141,1,7,3,0,2,1.0,21.0,4
142,2,13,0,0,2,0.992,20.89,3
143,2,0,0,0,2,1.05,27.93,3
144,2,0,0,0,2,1.015,29.71,2
145,2,71,13,0,2,0.968,15.35,4
146,1,17,7,0,2,0.962,13.62,2
147,1,24,4,0,2,0.963,12.63,2
148,1,0,0,0,2,0.968,18.79,4
149,2,43,27,0,2,0.967,12.75,3
150,2,59,23,0,2,0.964,14.8,5
151,1,23,9,0,2,0.972,10.63,2
152,2,59,26,14,2,0.986,11.3,4
153,1,33,9,0,2,0.981,10.87,2
154,2,31,17,0,2,0.98,10.87,2
155,1,0,0,-25,2,0.992,11.77,6
156,1,0,0,0,2,0.962,16.91,3
157,1,27,11,0,2,0.97,8.41,2
158,2,66,23,0,2,0.97,7.35,4
159,1,37,10,0,2,0.967,6.92,2
160,2,96,23,0,2,0.985,8.53,4
161,1,18,7,0,2,0.978,11.28,2
162,1,16,8,10,2,0.985,13.82,2
163,1,53,22,10,2,0.987,15.67,3
164,2,28,10,10,2,1.005,18.49,3
165,1,34,0,0,2,1.017,20.73,3
166,1,20,11,15,2,1.021,19.93,2
167,2,87,30,0,2,1.025,20.94,12
168,1,17,4,0,2,1.001,18.9,2
169,1,17,8,0,2,0.967,16.28,3
170,1,18,5,0,2,0.957,15.32,2
171,1,23,11,0,2,0.946,14.35,2
172,2,113,32,0,2,0.955,15.26,6
173,2,63,22,0,2,0.952,14.97,3
174,2,84,18,0,2,0.954,15.16,6
175,1,12,3,0,2,0.971,16.36,2
176,1,12,3,0,2,0.959,15.51,2
177,2,277,113,0,2,0.985,19.37,7
178,1,78,3,0,2,0.993,23.15,3
179,2,0,0,0,2,0.995,24.04,4
180,2,77,14,0,2,0.998,23.43,4
181,1,0,0,0,2,0.969,22.75,2
182,1,0,0,0,2,0.984,24.52,3
183,2,0,0,0,2,1.005,27.65,4
184,2,39,18,0,2,1.05,27.48,5
185,1,28,7,0,2,1.02,24.84,2
186,1,0,0,0,2,1.003,27.55,4
187,2,0,0,0,2,1.035,30.0,7
188,2,66,20,0,2,0.984,22.58,5
189,1,0,0,0,2,0.987,22.15,3
190,2,12,0,0,2,0.98,20.98,2
191,2,6,0,0,2,0.991,21.94,1
192,2,68,27,12,2,0.958,21.64,2
193,1,47,11,0,2,0.967,22.91,5
194,2,68,36,0,2,0.943,21.77,2
195,2,61,28,0,2,1.006,26.72,7
196,1,71,26,0,2,1.003,26.42,2
197,1,39,32,20,2,1.009,26.72,2
198,2,130,26,0,2,1.04,28.96,8
199,1,0,0,0,2,0.997,28.1,2
200,1,54,27,20,2,0.989,27.24,3
201,1,20,10,10,2,0.985,28.42,3
202,1,11,7,0,2,0.98,30.95,2
203,2,24,15,0,2,0.985,32.51,5
204,1,21,10,0,2,0.987,31.14,2
205,2,0,0,0,2,1.015,31.4,1
206,1,48,10,0,2,0.987,35.64,2
207,2,0,0,0,2,1.005,39.69,6
208,2,163,42,0,2,0.985,33.29,3
209,2,10,0,0,2,0.98,33.31,2
210,2,65,10,0,2,0.993,33.8,7
211,1,12,7,0,2,0.987,30.79,2
212,1,30,16,0,2,0.991,28.64,5
213,1,42,31,0,2,0.981,27.67,2
214,1,38,15,0,2,0.993,27.51,5
215,1,15,9,0,2,1.011,27.88,2
216,1,34,8,0,2,1.024,27.4,2
217,2,42,0,0,2,1.01,27.04,2
218,2,37,18,0,2,1.017,28.03,8
219,1,22,15,0,2,0.993,29.61,2
220,1,5,3,0,2,0.991,32.3,2
221,2,23,16,0,2,1.001,24.44,4
222,2,38,25,0,2,0.971,21.69,3
223,2,31,26,20,2,0.965,20.57,5
224,1,43,16,0,2,0.962,20.32,3
225,2,50,12,6,2,0.952,17.53,2
226,1,2,1,0,2,0.967,19.38,2
227,1,8,3,0,2,0.967,18.93,2
228,2,39,30,6,2,0.973,18.09,4
229,2,0,0,0,2,0.98,19.74,1
230,2,68,13,0,2,0.975,14.99,1
231,2,6,0,0,2,0.993,13.74,2
232,1,8,3,0,2,0.96,14.46,2
233,1,22,7,0,2,0.96,14.46,2
234,2,184,0,0,2,1.005,27.12,1
235,1,20,8,0,2,0.974,10.67,1
236,1,33,15,0,2,0.949,21.92,2
237,2,51,27,0,3,0.955,10.67,2
238,1,20,9,0,3,0.971,11.22,2
239,1,39,10,0,3,0.968,11.56,3
240,2,39,12,0,3,0.998,15.28,2
241,1,0,0,-40,3,1.002,15.73,5
242,2,52,22,0,3,0.99,13.0,2
243,1,19,2,0,3,0.989,12.56,2
244,2,28,0,0,3,1.015,20.77,3
245,1,0,0,0,3,1.043,28.02,2
246,2,0,0,0,3,1.05,35.61,1
247,1,70,23,0,3,0.985,12.72,4
248,2,47,10,0,3,0.99,12.2,7
249,1,34,16,0,3,0.968,11.35,2
250,1,14,1,0,3,0.984,11.5,2
251,2,90,30,0,3,0.97,11.23,5
252,1,25,10,0,3,0.984,11.91,2
253,1,11,3,0,3,0.995,13.74,6
254,2,60,34,0,3,0.973,11.53,2
255,2,45,25,0,3,0.963,11.05,4
256,1,18,3,0,3,0.958,11.93,2
257,1,14,8,0,3,0.959,13.52,2
258,1,10,5,0,3,0.97,16.08,2
259,1,7,3,0,3,1.0,21.0,4
260,2,13,0,0,3,0.992,20.89,3
261,2,0,0,0,3,1.05,27.93,3
262,2,0,0,0,3,1.015,29.71,2
263,2,71,13,0,3,0.968,15.35,4
264,1,17,7,0,3,0.962,13.62,2
265,1,24,4,0,3,0.963,12.63,2
266,1,0,0,0,3,0.968,18.79,4
267,2,43,27,0,3,0.967,12.75,3
268,2,59,23,0,3,0.964,14.8,5
269,1,23,9,0,3,0.972,10.63,2
270,2,59,26,14,3,0.986,11.3,4
271,1,33,9,0,3,0.981,10.87,2
272,2,31,17,0,3,0.98,10.87,2
273,1,0,0,-25,3,0.992,11.77,6
274,1,0,0,0,3,0.962,16.91,3
275,1,27,11,0,3,0.97,8.41,2
276,2,66,23,0,3,0.97,7.35,4
277,1,37,10,0,3,0.967,6.92,2
278,2,96,23,0,3,0.985,8.53,4
279,1,18,7,0,3,0.978,11.28,2
280,1,16,8,10,3,0.985,13.82,2
281,1,53,22,10,3,0.987,15.67,3
282,2,28,10,10,3,1.005,18.49,3
283,1,34,0,0,3,1.017,20.73,3
284,1,20,11,15,3,1.021,19.93,2
285,2,87,30,0,3,1.025,20.94,12
286,1,17,4,0,3,1.001,18.9,2
287,1,17,8,0,3,0.967,16.28,3
288,1,18,5,0,3,0.957,15.32,2
289,1,23,11,0,3,0.946,14.35,2
290,2,113,32,0,3,0.955,15.26,6
291,2,63,22,0,3,0.952,14.97,3
292,2,84,18,0,3,0.954,15.16,6
293,1,12,3,0,3,0.971,16.36,2
294,1,12,3,0,3,0.959,15.51,2
295,2,277,113,0,3,0.985,19.37,7
296,1,78,3,0,3,0.993,23.15,3
297,2,0,0,0,3,0.995,24.04,4
298,2,77,14,0,3,0.998,23.43,4
299,1,0,0,0,3,0.969,22.75,2
300,1,0,0,0,3,0.984,24.52,3
301,2,0,0,0,3,1.005,27.65,4
302,2,39,18,0,3,1.05,27.48,5
303,1,28,7,0,3,1.02,24.84,2
304,1,0,0,0,3,1.003,27.55,4
305,2,0,0,0,3,1.035,30.0,7
306,2,66,20,0,3,0.984,22.58,5
307,1,0,0,0,3,0.987,22.15,3
308,2,12,0,0,3,0.98,20.98,2
309,2,6,0,0,3,0.991,21.94,1
310,2,68,27,12,3,0.958,21.64,2
311,1,47,11,0,3,0.967,22.91,5
312,2,68,36,0,3,0.943,21.77,2
313,2,61,28,0,3,1.006,26.72,7
314,1,71,26,0,3,1.003,26.42,2
315,1,39,32,20,3,1.009,26.72,2
316,2,130,26,0,3,1.04,28.96,8
317,1,0,0,0,3,0.997,28.1,2
318,1,54,27,20,3,0.989,27.24,3
319,1,20,10,10,3,0.985,28.42,3
320,1,11,7,0,3,0.98,30.95,2
321,2,24,15,0,3,0.985,32.51,5
322,1,21,10,0,3,0.987,31.14,2
323,2,0,0,0,3,1.015,31.4,1
324,1,48,10,0,3,0.987,35.64,2
325,2,0,0,0,3,1.005,39.69,6
326,2,163,42,0,3,0.985,33.29,3
327,2,10,0,0,3,0.98,33.31,2
328,2,65,10,0,3,0.993,33.8,7
329,1,12,7,0,3,0.987,30.79,2
330,1,30,16,0,3,0.991,28.64,5
331,1,42,31,0,3,0.981,27.67,2
332,1,38,15,0,3,0.993,27.51,5
333,1,15,9,0,3,1.011,27.88,2
334,1,34,8,0,3,1.024,27.4,2
335,2,42,0,0,3,1.01,27.04,2
336,2,37,18,0,3,1.017,28.03,8
337,1,22,15,0,3,0.993,29.61,2
338,1,5,3,0,3,0.991,32.3,2
339,2,23,16,0,3,1.001,24.44,4
340,2,38,25,0,3,0.971,21.69,3
341,2,31,26,20,3,0.965,20.57,5
342,1,43,16,0,3,0.962,20.32,3
343,2,50,12,6,3,0.952,17.53,2
344,1,2,1,0,3,0.967,19.38,2
345,1,8,3,0,3,0.967,18.93,2
346,2,39,30,6,3,0.973,18.09,4
347,2,0,0,0,3,0.98,19.74,1
348,2,68,13,0,3,0.975,14.99,1
349,2,6,0,0,3,0.993,13.74,2
350,1,8,3,0,3,0.96,14.46,2
351,1,22,7,0,3,0.96,14.46,2
352,2,184,0,0,3,1.005,27.12,1
353,1,20,8,0,3,0.974,10.67,1
354,1,33,15,0,3,0.949,21.92,2
355,2,51,27,0,4,0.955,10.67,2
356,1,20,9,0,4,0.971,11.22,2
357,1,39,10,0,4,0.968,11.56,3
358,2,39,12,0,4,0.998,15.28,2
359,1,0,0,-40,4,1.002,15.73,5
360,2,52,22,0,4,0.99,13.0,2
361,1,19,2,0,4,0.989,12.56,2
362,2,28,0,0,4,1.015,20.77,3
363,1,0,0,0,4,1.043,28.02,2
364,2,0,0,0,4,1.05,35.61,1
365,1,70,23,0,4,0.985,12.72,4
366,2,47,10,0,4,0.99,12.2,7
367,1,34,16,0,4,0.968,11.35,2
368,1,14,1,0,4,0.984,11.5,2
369,2,90,30,0,4,0.97,11.23,5
370,1,25,10,0,4,0.984,11.91,2
371,1,11,3,0,4,0.995,13.74,6
372,2,60,34,0,4,0.973,11.53,2
373,2,45,25,0,4,0.963,11.05,4
374,1,18,3,0,4,0.958,11.93,2
375,1,14,8,0,4,0.959,13.52,2
376,1,10,5,0,4,0.97,16.08,2
377,1,7,3,0,4,1.0,21.0,4
378,2,13,0,0,4,0.992,20.89,3
379,2,0,0,0,4,1.05,27.93,3
380,2,0,0,0,4,1.015,29.71,2
381,2,71,13,0,4,0.968,15.35,4
382,1,17,7,0,4,0.962,13.62,2
383,1,24,4,0,4,0.963,12.63,2
384,1,0,0,0,4,0.968,18.79,4
385,2,43,27,0,4,0.967,12.75,3
386,2,59,23,0,4,0.964,14.8,5
387,1,23,9,0,4,0.972,10.63,2
388,2,59,26,14,4,0.986,11.3,4
389,1,33,9,0,4,0.981,10.87,2
390,2,31,17,0,4,0.98,10.87,2
391,1,0,0,-25,4,0.992,11.77,6
392,1,0,0,0,4,0.962,16.91,3
393,1,27,11,0,4,0.97,8.41,2
394,2,66,23,0,4,0.97,7.35,4
395,1,37,10,0,4,0.967,6.92,2
396,2,96,23,0,4,0.985,8.53,4
397,1,18,7,0,4,0.978,11.28,2
398,1,16,8,10,4,0.985,13.82,2
399,1,53,22,10,4,0.987,15.67,3
400,2,28,10,10,4,1.005,18.49,3
401,1,34,0,0,4,1.017,20.73,3
402,1,20,11,15,4,1.021,19.93,2
