id,area,degree
1,1,3
2,1,4
3,1,7
4,1,2
5,1,3
6,1,2
7,1,5
8,1,3
9,1,2
10,1,2
11,1,5
12,1,4
13,1,2
14,1,2
15,1,6
16,1,3
17,1,2
19,1,3
20,1,4
21,1,4
22,1,2
23,1,4
24,1,4
25,1,2
26,1,3
27,1,2
33,1,4
34,1,2
35,1,4
36,1,2
37,1,8
38,1,4
39,1,2
40,1,3
41,1,6
42,1,5
43,1,4
44,1,5
45,1,4
46,1,3
47,1,3
48,1,3
49,1,4
51,1,3
52,1,2
53,1,2
54,1,3
55,1,4
57,1,4
58,1,2
59,1,2
60,1,2
61,1,3
62,1,5
63,1,3
64,1,2
69,1,3
70,1,2
71,1,4
72,1,4
73,1,5
74,1,4
76,1,3
77,1,7
78,1,3
79,1,4
80,1,2
81,1,4
84,1,1
85,1,2
86,1,4
87,1,3
88,1,3
89,1,3
90,1,3
91,1,3
92,1,3
94,1,3
97,1,5
98,1,2
99,1,5
100,1,3
102,1,5
103,1,3
104,1,3
105,1,4
107,1,3
108,1,3
109,1,4
110,1,4
112,1,2
113,1,2
114,1,3
115,2,2
116,2,2
117,2,2
118,2,4
119,2,4
120,2,4
121,2,3
122,2,4
123,2,3
124,2,3
125,2,3
126,2,7
127,2,4
128,2,3
129,2,3
130,2,9
131,2,2
132,2,3
133,2,6
134,2,3
135,2,2
136,2,3
137,2,7
138,2,2
139,2,3
140,2,7
141,2,3
142,2,3
143,2,5
144,2,2
145,2,5
146,2,4
147,2,2
148,2,3
149,2,2
150,2,2
151,2,2
152,2,2
153,2,3
154,2,2
155,2,3
156,2,2
157,2,3
158,2,3
159,2,3
160,2,2
161,2,2
162,2,2
163,2,2
164,2,3
165,2,2
166,2,2
167,2,2
168,2,3
169,2,3
170,2,2
171,2,1
172,2,3
173,2,4
174,2,3
175,2,4
176,2,3
177,2,2
178,2,4
179,2,3
180,2,2
181,2,3
182,2,2
183,2,2
184,2,2
185,2,1
186,2,2
187,2,2
188,2,4
189,3,3
190,3,3
191,3,2
192,3,2
193,3,3
194,3,3
195,3,3
196,3,4
197,3,3
198,3,6
199,3,2
200,3,3
201,1,2
202,3,2
203,3,2
204,3,3
205,3,3
206,3,3
207,1,2
208,3,3
209,3,2
210,3,5
211,3,8
212,3,3
213,3,1
214,3,3
215,3,3
216,3,2
217,3,4
218,3,3
219,3,5
220,3,4
221,3,2
222,3,1
223,3,2
224,3,3
225,3,3
226,3,2
227,3,1
228,3,3
229,3,3
230,3,1
231,3,6
232,3,2
233,3,1
234,3,4
235,3,2
236,3,1
237,3,5
238,3,3
239,3,1
240,3,2
241,3,1
242,3,3
243,3,2
244,3,2
245,3,4
246,3,3
247,3,4
248,3,3
249,3,2
250,3,1
281,3,1
319,1,1
320,1,1
322,1,1
323,1,1
324,1,1
526,1,1
528,1,1
531,1,1
552,1,1
562,1,1
609,1,1
664,3,1
1190,2,1
1200,2,1
1201,2,2
2040,3,2
7001,1,1
7002,1,1
7003,1,1
7011,1,1
7012,1,1
7017,1,1
7023,1,1
7024,1,1
7039,1,1
7044,1,1
7049,1,1
7055,1,1
7057,1,1
7061,1,1
7062,1,1
7071,1,1
7130,2,1
7139,2,1
7166,2,1
9001,9,4
9002,9,4
9003,9,12
9004,9,4
9005,9,6
9006,9,4
9007,9,4
9012,9,4
9021,9,3
9022,9,1
9023,9,3
9024,9,1
9025,9,1
9026,9,1
9031,9,1
9032,9,1
9033,9,1
9034,9,1
9035,9,1
9036,9,1
9037,9,1
9038,9,1
9041,9,1
9042,9,1
9043,9,1
9044,9,2
9051,9,1
9052,9,1
9053,9,2
9054,9,1
9055,9,1
9071,9,1
9072,9,1
9121,9,1
9533,9,1
