id,type,pd,qd,bs,area,vmag,vang
156,1,0,0,0,2,0.962,16.91
183,2,0,0,0,2,1.005,27.65
232,1,8,3,0,2,0.96,14.46
233,1,22,7,0,2,0.96,14.46
866,2,66,23,0,8,0.97,7.35
867,1,37,10,0,8,0.967,6.92
808,2,37,18,0,7,1.017,28.03
811,2,23,16,0,7,1.001,24.44
1013,2,0,0,0,9,1.035,30.0
1019,1,47,11,0,9,0.967,22.91
302,2,39,18,0,3,1.05,27.48
303,1,28,7,0,3,1.02,24.84
785,2,61,28,0,7,1.006,26.72
788,2,130,26,0,7,1.04,28.96
891,2,0,0,0,8,1.005,27.65
892,2,39,18,0,8,1.05,27.48
911,2,24,15,0,8,0.985,32.51
914,1,48,10,0,8,0.987,35.64
1029,2,24,15,0,9,0.985,32.51
1032,1,48,10,0,9,0.987,35.64
595,1,0,0,-40,6,1.002,15.73
596,2,52,22,0,6,0.99,13.0
486,1,14,1,0,5,0.984,11.5
487,2,90,30,0,5,0.97,11.23
799,2,10,0,0,7,0.98,33.31
800,2,65,10,0,7,0.993,33.8
53,1,23,11,0,1,0.946,14.35
54,2,113,32,0,1,0.955,15.26
213,1,42,31,0,2,0.981,27.67
214,1,38,15,0,2,0.993,27.51
757,2,87,30,0,7,1.025,20.94
777,2,0,0,0,7,1.035,30.0
682,2,65,10,0,6,0.993,33.8
690,2,37,18,0,6,1.017,28.03
813,2,31,26,20,7,0.965,20.57
814,1,43,16,0,7,0.962,20.32
868,2,96,23,0,8,0.985,8.53
356,1,20,9,0,4,0.971,11.22
366,2,47,10,0,4,0.99,12.2
841,2,90,30,0,8,0.97,11.23
843,1,11,3,0,8,0.995,13.74
577,2,31,26,20,5,0.965,20.57
580,1,2,1,0,5,0.967,19.38
752,1,16,8,10,7,0.985,13.82
753,1,53,22,10,7,0.987,15.67
139,1,14,8,0,2,0.959,13.52
140,1,10,5,0,2,0.97,16.08
668,1,71,26,0,6,1.003,26.42
669,1,39,32,20,6,1.009,26.72
822,1,8,3,0,7,0.96,14.46
823,1,22,7,0,7,0.96,14.46
734,2,0,0,0,7,1.015,29.71
738,1,0,0,0,7,0.968,18.79
490,2,60,34,0,5,0.973,11.53
491,2,45,25,0,5,0.963,11.05
779,1,0,0,0,7,0.987,22.15
781,2,6,0,0,7,0.991,21.94
