from,to,r,x,b,tap
1,2,0.0303,0.0999,0.0254,0.0
5,11,0.0203,0.0682,0.01738,0.0
14,15,0.0595,0.195,0.0502,0.0
21,22,0.0209,0.097,0.0246,0.0
34,36,0.00871,0.0268,0.00568,0.0
34,37,0.00256,0.0094,0.00984,0.0
35,36,0.00224,0.0102,0.00268,0.0
35,37,0.011,0.0497,0.01318,0.0
37,40,0.0593,0.168,0.042,0.0
38,37,0.0,0.0375,0.0,0.935
38,65,0.00901,0.0986,1.046,0.0
40,42,0.0555,0.183,0.0466,0.0
45,46,0.04,0.1356,0.0332,0.0
51,52,0.0203,0.0588,0.01396,0.0
52,53,0.0405,0.1635,0.04058,0.0
59,60,0.0317,0.145,0.0376,0.0
59,61,0.0328,0.15,0.0388,0.0
60,61,0.00264,0.0135,0.01456,0.0
63,59,0.0,0.0386,0.0,0.96
63,64,0.00172,0.02,0.216,0.0
64,61,0.0,0.0268,0.0,0.985
64,65,0.00269,0.0302,0.38,0.0
65,66,0.0,0.037,0.0,0.935
65,68,0.00138,0.016,0.638,0.0
68,69,0.0,0.037,0.0,0.935
68,81,0.00175,0.0202,0.808,0.0
68,116,0.00034,0.00405,0.164,1.0
69,75,0.0405,0.122,0.124,0.0
69,77,0.0309,0.101,0.1038,0.0
69,423,0.0,0.0576,0.0,0.0
75,77,0.0601,0.1999,0.04978,0.0
76,77,0.0444,0.148,0.0368,0.0
77,82,0.0298,0.0853,0.08174,0.0
82,83,0.0112,0.03665,0.03796,0.0
82,96,0.0162,0.053,0.0544,0.0
83,84,0.0625,0.132,0.0258,0.0
83,85,0.043,0.148,0.0348,0.0
84,85,0.0302,0.0641,0.01234,0.0
85,86,0.035,0.123,0.0276,0.0
85,88,0.02,0.102,0.0276,0.0
85,89,0.0239,0.173,0.047,0.0
86,87,0.02828,0.2074,0.0445,1.0
88,89,0.0139,0.0712,0.01934,0.0
89,90,0.0518,0.188,0.0528,0.0
89,90,0.0238,0.0997,0.106,0.0
90,91,0.0254,0.0836,0.0214,0.0
94,96,0.0269,0.0869,0.023,0.0
103,110,0.03906,0.1813,0.0461,0.0
106,107,0.053,0.183,0.0472,0.0
110,111,0.022,0.0755,0.02,0.0
123,129,0.0203,0.0682,0.01738,0.0
125,130,0.00862,0.034,0.00874,0.0
126,123,0.0,0.0267,0.0,0.985
129,130,0.00595,0.0196,0.00502,0.0
130,132,0.0215,0.0707,0.01816,0.0
130,134,0.0212,0.0834,0.0214,0.0
130,235,0.0329,0.14,0.0358,0.0
134,135,0.0454,0.1801,0.0466,0.0
135,136,0.0123,0.0505,0.01298,0.0
138,139,0.0183,0.0849,0.0216,0.0
139,140,0.0209,0.097,0.0246,0.0
152,154,0.00871,0.0268,0.00568,0.0
153,154,0.00224,0.0102,0.00268,0.0
163,167,0.0684,0.186,0.0444,0.0
167,172,0.073,0.289,0.0738,0.0
167,172,0.0869,0.291,0.073,0.0
167,187,0.0985,0.324,0.0828,0.0
170,171,0.0405,0.1635,0.04058,0.0
171,172,0.0263,0.122,0.031,0.0
178,180,0.0123,0.0561,0.01468,0.0
180,185,0.0258,0.117,0.031,0.0
186,187,0.0,0.037,0.0,0.935
186,199,0.00175,0.0202,0.808,0.0
187,195,0.0309,0.101,0.1038,0.0
194,195,0.0444,0.148,0.0368,0.0
194,236,0.0164,0.0544,0.01356,0.0
195,198,0.017,0.0485,0.0472,0.0
195,198,0.0294,0.105,0.0228,0.0
197,198,0.0156,0.0704,0.0187,0.0
198,215,0.0183,0.0934,0.0254,0.0
199,198,0.0,0.037,0.0,0.935
201,202,0.0625,0.132,0.0258,0.0
206,207,0.0139,0.0712,0.01934,0.0
207,208,0.0518,0.188,0.0528,0.0
207,208,0.0238,0.0997,0.106,0.0
208,209,0.0254,0.0836,0.0214,0.0
211,212,0.0223,0.0732,0.01876,0.0
224,225,0.053,0.183,0.0472,0.0
237,238,0.0303,0.0999,0.0254,0.0
241,247,0.0203,0.0682,0.01738,0.0
245,246,0.00258,0.0322,1.23,0.0
253,254,0.0123,0.0505,0.01298,0.0
253,267,0.0474,0.1563,0.0399,0.0
253,349,0.00913,0.0301,0.00768,0.0
254,255,0.01119,0.0493,0.01142,0.0
255,256,0.0252,0.117,0.0298,0.0
256,257,0.0183,0.0849,0.0216,0.0
257,258,0.0209,0.097,0.0246,0.0
258,259,0.0342,0.159,0.0404,0.0
269,273,0.0415,0.142,0.0366,0.0
271,273,0.011,0.0497,0.01318,0.0
274,273,0.0,0.0375,0.0,0.935
284,285,0.0179,0.0505,0.01258,0.0
285,286,0.0267,0.0752,0.01874,0.0
285,287,0.0486,0.137,0.0342,0.0
287,288,0.0203,0.0588,0.01396,0.0
287,294,0.0255,0.0719,0.01788,0.0
288,289,0.0405,0.1635,0.04058,0.0
296,297,0.00264,0.0135,0.01456,0.0
306,307,0.00882,0.0355,0.00878,0.0
306,310,0.0401,0.1323,0.03368,0.0
306,311,0.0428,0.141,0.036,0.0
307,308,0.0446,0.18,0.04444,0.0
310,311,0.0123,0.0406,0.01034,0.0
315,316,0.0156,0.0704,0.0187,0.0
316,333,0.0183,0.0934,0.0254,0.0
316,334,0.0238,0.108,0.0286,0.0
318,319,0.0112,0.03665,0.03796,0.0
319,321,0.043,0.148,0.0348,0.0
321,322,0.035,0.123,0.0276,0.0
322,323,0.02828,0.2074,0.0445,1.0
344,345,0.0105,0.0288,0.0076,0.0
345,346,0.0278,0.0762,0.0202,0.0
358,359,0.00176,0.00798,0.0021,0.0
362,363,0.00244,0.0305,1.162,0.0
362,359,0.0,0.0267,0.0,0.985
363,364,0.00258,0.0322,1.23,0.0
371,385,0.0474,0.1563,0.0399,0.0
379,381,0.0318,0.163,0.1764,0.0
381,386,0.0229,0.0755,0.01926,0.0
381,469,0.0164,0.0741,0.01972,0.0
383,385,0.0108,0.0331,0.0083,0.0
385,386,0.0298,0.0985,0.0251,0.0
386,468,0.0135,0.0612,0.01628,0.0
388,391,0.00256,0.0094,0.00984,0.0
388,397,0.0413,0.1681,0.04226,0.0
389,391,0.011,0.0497,0.01318,0.0
391,393,0.0321,0.106,0.027,0.0
392,391,0.0,0.0375,0.0,0.935
395,396,0.041,0.135,0.0344,0.0
397,398,0.0608,0.2454,0.06068,0.0
409,410,0.00488,0.0151,0.00374,0.0
409,413,0.04739,0.2158,0.05646,0.0
410,411,0.0343,0.0966,0.0242,0.0
410,413,0.0825,0.251,0.0569,0.0
410,413,0.0803,0.239,0.0536,0.0
413,414,0.0317,0.145,0.0376,0.0
414,416,0.0123,0.0561,0.01468,0.0
416,421,0.0258,0.117,0.031,0.0
417,413,0.0,0.0386,0.0,0.96
417,418,0.00172,0.02,0.216,0.0
422,423,0.0,0.037,0.0,0.935
422,435,0.00175,0.0202,0.808,0.0
422,470,0.00034,0.00405,0.164,1.0
423,424,0.03,0.127,0.122,0.0
423,541,0.017,0.092,0.158,0.0
436,437,0.0112,0.03665,0.03796,0.0
437,439,0.043,0.148,0.0348,0.0
457,458,0.0466,0.1584,0.0407,0.0
457,459,0.0535,0.1625,0.0408,0.0
457,464,0.03906,0.1813,0.0461,0.0
458,459,0.00994,0.0378,0.00986,0.0
459,460,0.014,0.0547,0.01434,0.0
459,461,0.053,0.183,0.0472,0.0
460,461,0.053,0.183,0.0472,0.0
463,464,0.0278,0.0762,0.0202,0.0
464,466,0.0247,0.064,0.062,0.0
468,469,0.0023,0.0104,0.00276,0.0
473,475,0.0129,0.0424,0.01082,0.0
475,484,0.0484,0.16,0.0406,0.0
480,481,0.00244,0.0305,1.162,0.0
481,482,0.00258,0.0322,1.23,0.0
495,497,0.0156,0.08,0.0864,0.0
495,504,0.0317,0.1153,0.1173,0.0
503,504,0.0298,0.0985,0.0251,0.0
504,586,0.0135,0.0612,0.01628,0.0
506,508,0.00871,0.0268,0.00568,0.0
506,515,0.0413,0.1681,0.04226,0.0
507,508,0.00224,0.0102,0.00268,0.0
512,514,0.0555,0.183,0.0466,0.0
514,521,0.0715,0.323,0.086,0.0
514,521,0.0715,0.323,0.086,0.0
515,516,0.0608,0.2454,0.06068,0.0
