id,type,pd,qd,bs,area,vmag,vang
1,2,51,27,0,1,0.955,10.67
2,1,20,9,0,1,0.971,11.22
5,1,0,0,-40,1,1.002,15.73
11,1,70,23,0,1,0.985,12.72
14,1,14,1,0,1,0.984,11.5
15,2,90,30,0,1,0.97,11.23
21,1,14,8,0,1,0.959,13.52
22,1,10,5,0,1,0.97,16.08
34,2,59,26,14,1,0.986,11.3
35,1,33,9,0,1,0.981,10.87
36,2,31,17,0,1,0.98,10.87
37,1,0,0,-25,1,0.992,11.77
38,1,0,0,0,1,0.962,16.91
40,2,66,23,0,1,0.97,7.35
42,2,96,23,0,1,0.985,8.53
45,1,53,22,10,1,0.987,15.67
46,2,28,10,10,1,1.005,18.49
51,1,17,8,0,1,0.967,16.28
52,1,18,5,0,1,0.957,15.32
53,1,23,11,0,1,0.946,14.35
59,2,277,113,0,1,0.985,19.37
60,1,78,3,0,1,0.993,23.15
61,2,0,0,0,1,0.995,24.04
63,1,0,0,0,1,0.969,22.75
64,1,0,0,0,1,0.984,24.52
65,2,0,0,0,1,1.005,27.65
66,2,39,18,0,1,1.05,27.48
68,1,0,0,0,1,1.003,27.55
69,3,0,0,0,1,1.035,30.0
75,1,47,11,0,1,0.967,22.91
76,2,68,36,0,1,0.943,21.77
77,2,61,28,0,1,1.006,26.72
81,1,0,0,0,1,0.997,28.1
82,1,54,27,20,1,0.989,27.24
83,1,20,10,10,1,0.985,28.42
84,1,11,7,0,1,0.98,30.95
85,2,24,15,0,1,0.985,32.51
86,1,21,10,0,1,0.987,31.14
87,2,0,0,0,1,1.015,31.4
88,1,48,10,0,1,0.987,35.64
89,2,0,0,0,1,1.005,39.69
90,2,163,42,0,1,0.985,33.29
91,2,10,0,0,1,0.98,33.31
94,1,30,16,0,1,0.991,28.64
96,1,38,15,0,1,0.993,27.51
103,2,23,16,0,1,1.001,24.44
106,1,43,16,0,1,0.962,20.32
107,2,50,12,6,1,0.952,17.53
110,2,39,30,6,1,0.973,18.09
111,2,0,0,0,1,0.98,19.74
116,2,184,0,0,1,1.005,27.12
123,1,0,0,-40,2,1.002,15.73
125,1,19,2,0,2,0.989,12.56
126,2,28,0,0,2,1.015,20.77
129,1,70,23,0,2,0.985,12.72
130,2,47,10,0,2,0.99,12.2
132,1,14,1,0,2,0.984,11.5
134,1,25,10,0,2,0.984,11.91
135,1,11,3,0,2,0.995,13.74
136,2,60,34,0,2,0.973,11.53
138,1,18,3,0,2,0.958,11.93
139,1,14,8,0,2,0.959,13.52
140,1,10,5,0,2,0.97,16.08
152,2,59,26,14,2,0.986,11.3
153,1,33,9,0,2,0.981,10.87
154,2,31,17,0,2,0.98,10.87
163,1,53,22,10,2,0.987,15.67
167,2,87,30,0,2,1.025,20.94
170,1,18,5,0,2,0.957,15.32
171,1,23,11,0,2,0.946,14.35
172,2,113,32,0,2,0.955,15.26
178,1,78,3,0,2,0.993,23.15
180,2,77,14,0,2,0.998,23.43
185,1,28,7,0,2,1.02,24.84
186,1,0,0,0,2,1.003,27.55
187,2,0,0,0,2,1.035,30.0
194,2,68,36,0,2,0.943,21.77
195,2,61,28,0,2,1.006,26.72
197,1,39,32,20,2,1.009,26.72
198,2,130,26,0,2,1.04,28.96
199,1,0,0,0,2,0.997,28.1
201,1,20,10,10,2,0.985,28.42
202,1,11,7,0,2,0.98,30.95
206,1,48,10,0,2,0.987,35.64
207,2,0,0,0,2,1.005,39.69
208,2,163,42,0,2,0.985,33.29
209,2,10,0,0,2,0.98,33.31
211,1,12,7,0,2,0.987,30.79
212,1,30,16,0,2,0.991,28.64
215,1,15,9,0,2,1.011,27.88
224,1,43,16,0,2,0.962,20.32
225,2,50,12,6,2,0.952,17.53
235,1,20,8,0,2,0.974,10.67
236,1,33,15,0,2,0.949,21.92
237,2,51,27,0,3,0.955,10.67
238,1,20,9,0,3,0.971,11.22
241,1,0,0,-40,3,1.002,15.73
245,1,0,0,0,3,1.043,28.02
246,2,0,0,0,3,1.05,35.61
247,1,70,23,0,3,0.985,12.72
253,1,11,3,0,3,0.995,13.74
254,2,60,34,0,3,0.973,11.53
255,2,45,25,0,3,0.963,11.05
256,1,18,3,0,3,0.958,11.93
257,1,14,8,0,3,0.959,13.52
258,1,10,5,0,3,0.97,16.08
259,1,7,3,0,3,1.0,21.0
267,2,43,27,0,3,0.967,12.75
269,1,23,9,0,3,0.972,10.63
271,1,33,9,0,3,0.981,10.87
273,1,0,0,-25,3,0.992,11.77
274,1,0,0,0,3,0.962,16.91
284,1,20,11,15,3,1.021,19.93
285,2,87,30,0,3,1.025,20.94
286,1,17,4,0,3,1.001,18.9
287,1,17,8,0,3,0.967,16.28
288,1,18,5,0,3,0.957,15.32
289,1,23,11,0,3,0.946,14.35
294,1,12,3,0,3,0.959,15.51
296,1,78,3,0,3,0.993,23.15
297,2,0,0,0,3,0.995,24.04
306,2,66,20,0,3,0.984,22.58
307,1,0,0,0,3,0.987,22.15
308,2,12,0,0,3,0.98,20.98
310,2,68,27,12,3,0.958,21.64
311,1,47,11,0,3,0.967,22.91
315,1,39,32,20,3,1.009,26.72
316,2,130,26,0,3,1.04,28.96
318,1,54,27,20,3,0.989,27.24
319,1,20,10,10,3,0.985,28.42
321,2,24,15,0,3,0.985,32.51
322,1,21,10,0,3,0.987,31.14
323,2,0,0,0,3,1.015,31.4
333,1,15,9,0,3,1.011,27.88
334,1,34,8,0,3,1.024,27.4
344,1,2,1,0,3,0.967,19.38
345,1,8,3,0,3,0.967,18.93
346,2,39,30,6,3,0.973,18.09
349,2,6,0,0,3,0.993,13.74
358,2,39,12,0,4,0.998,15.28
359,1,0,0,-40,4,1.002,15.73
362,2,28,0,0,4,1.015,20.77
363,1,0,0,0,4,1.043,28.02
364,2,0,0,0,4,1.05,35.61
371,1,11,3,0,4,0.995,13.74
379,2,0,0,0,4,1.05,27.93
381,2,71,13,0,4,0.968,15.35
383,1,24,4,0,4,0.963,12.63
385,2,43,27,0,4,0.967,12.75
386,2,59,23,0,4,0.964,14.8
388,2,59,26,14,4,0.986,11.3
389,1,33,9,0,4,0.981,10.87
391,1,0,0,-25,4,0.992,11.77
392,1,0,0,0,4,0.962,16.91
393,1,27,11,0,4,0.97,8.41
395,1,37,10,0,4,0.967,6.92
396,2,96,23,0,4,0.985,8.53
397,1,18,7,0,4,0.978,11.28
398,1,16,8,10,4,0.985,13.82
409,2,63,22,0,4,0.952,14.97
410,2,84,18,0,4,0.954,15.16
411,1,12,3,0,4,0.971,16.36
413,2,277,113,0,4,0.985,19.37
414,1,78,3,0,4,0.993,23.15
416,2,77,14,0,4,0.998,23.43
417,1,0,0,0,4,0.969,22.75
418,1,0,0,0,4,0.984,24.52
421,1,28,7,0,4,1.02,24.84
422,1,0,0,0,4,1.003,27.55
423,2,0,0,0,4,1.035,30.0
424,2,66,20,0,4,0.984,22.58
435,1,0,0,0,4,0.997,28.1
436,1,54,27,20,4,0.989,27.24
437,1,20,10,10,4,0.985,28.42
439,2,24,15,0,4,0.985,32.51
457,2,23,16,0,4,1.001,24.44
458,2,38,25,0,4,0.971,21.69
459,2,31,26,20,4,0.965,20.57
460,1,43,16,0,4,0.962,20.32
461,2,50,12,6,4,0.952,17.53
463,1,8,3,0,4,0.967,18.93
464,2,39,30,6,4,0.973,18.09
466,2,68,13,0,4,0.975,14.99
